Aeg: 2024-11-14 00:00:00, Hind: 33.0 EUR/MWh
Aeg: 2024-11-14 01:00:00, Hind: 29.68 EUR/MWh
Aeg: 2024-11-14 02:00:00, Hind: 30.03 EUR/MWh
Aeg: 2024-11-14 03:00:00, Hind: 33.03 EUR/MWh
Aeg: 2024-11-14 04:00:00, Hind: 40.09 EUR/MWh
Aeg: 2024-11-14 05:00:00, Hind: 45.0 EUR/MWh
Aeg: 2024-11-14 06:00:00, Hind: 128.01 EUR/MWh
Aeg: 2024-11-14 07:00:00, Hind: 128.04 EUR/MWh
Aeg: 2024-11-14 08:00:00, Hind: 128.0 EUR/MWh
Aeg: 2024-11-14 09:00:00, Hind: 130.08 EUR/MWh
Aeg: 2024-11-14 10:00:00, Hind: 120.0 EUR/MWh
Aeg: 2024-11-14 11:00:00, Hind: 115.87 EUR/MWh
Aeg: 2024-11-14 12:00:00, Hind: 150.34 EUR/MWh
Aeg: 2024-11-14 13:00:00, Hind: 149.67 EUR/MWh
Aeg: 2024-11-14 14:00:00, Hind: 130.1 EUR/MWh
Aeg: 2024-11-14 15:00:00, Hind: 128.01 EUR/MWh
Aeg: 2024-11-14 16:00:00, Hind: 107.81 EUR/MWh
Aeg: 2024-11-14 17:00:00, Hind: 128.0 EUR/MWh
Aeg: 2024-11-14 18:00:00, Hind: 128.03 EUR/MWh
Aeg: 2024-11-14 19:00:00, Hind: 51.79 EUR/MWh
Aeg: 2024-11-14 20:00:00, Hind: 47.62 EUR/MWh
Aeg: 2024-11-14 21:00:00, Hind: 41.02 EUR/MWh
Aeg: 2024-11-14 22:00:00, Hind: 30.05 EUR/MWh
